service,f0_
UNKNOWN,52169892
HTTP,195529745
IMAP,4339025
POP3,4283840
SMTP,8120476
SSH,24482738
MYSQL,5197260
TELNET,3487498
OPENVPN,1433178
RDP,4913576
SMB,1602351
DNS,7658867
FTP,10707231
NTP,9487836
VNC,639501
MSSQL,628891
POSTGRES,771324
IPMI,46697
KUBERNETES,118394
BACNET,15370
MQTT,200751
ORACLE,98442
MEMCACHED,93897
AMQP,135272
IPP,323744
COAP,185974
REDIS,194391
MONGODB,112471
MODBUS,46035
PROMETHEUS,37916
SNMP,2200213
ELASTICSEARCH,27620
DNP3,647
PC_ANYWHERE,11481
S7,9348
service_name,1
