f0_,service_name
423855,MSSQL
4046890,POP3
14863,IDENT
10580,SKINNY
9042,NETIS
4137269,IMAP
7399,PC_ANYWHERE
23017152,SSH
291979,IPP
4244373,MYSQL
46067,TEAMSPEAK
2452,TERRARIA
375953,MQTT
20962,ARD
16398,CHARGEN
62,GE_SRTP
161213,RSYNC
32527,IKETTLE
165417177,HTTP
161010,TFTP
717,DNP3
511384,VNC
4387,DIGI
1288053,SMB
1297905,OPENVPN
26319,FOX
3071,BEANSTALKD
14468,BACNET
1548036,PORTMAP
1714653,SNMP
7105,S7
22,PRO_CON_OS
6053,TEAM_VIEWER
197041,REDIS
195153,SIP
745279,POSTGRES
17890,MURMUR
4937,XDMCP
3403558,PPTP
128833,MONGODB
5457,RDP_UDP
100367,SSDP
3341,SENTINEL
14032,IRC
13066,QOTD
9020888,FTP
2808577,TELNET
7634,WDBRPC
39833,IPMI
34817,MODBUS
34689314,UNKNOWN
54821,POPPASSD
44179,PROMETHEUS
1937,IEC60870_5_104
5371225,DNS
74470,RIPV1
1104,ATG
2400,DB2
136171,COAP
74119,ORACLE
4582272,CWMP
2906,CITRIX
1140146,NETBIOS
7879,ICAP
159380,AMQP
86776,KUBERNETES
165,PCWORX
4275286,RDP
137492,NATPMP
118838,WS_DISCOVERY
34881,X11
8184869,NTP
7908214,SMTP
201588,PIGEONHOLE
226258,MDNS
80336,MEMCACHED
32273,ELASTICSEARCH
1703,CODESYS
1956,LDAP
2924804,RTSP
76425,UBIQUITI
15,TORCONTROL
